id,datum,ticker,pris
1,2026-07-04,XLK,180.589996337891
2,2026-07-04,XLF,55.6199989318848
3,2026-07-04,XLV,163.740005493164
4,2026-07-04,XLY,117.120002746582
5,2026-07-04,XLP,84.9899978637695
6,2026-07-04,XLI,183.910003662109
7,2026-07-04,XLE,53.2200012207031
8,2026-07-04,XLU,45.7599983215332
9,2026-07-04,XLB,52.0099983215332
10,2026-07-04,XLRE,44.6800003051758
11,2026-08-06,XLK,186.25
12,2026-08-06,XLF,57.7799987792969
13,2026-08-06,XLV,163.828598022461
14,2026-08-06,XLY,118.01000213623
15,2026-08-06,XLP,84.9499969482422
16,2026-08-06,XLI,185.470001220703
17,2026-08-06,XLE,57.8699989318848
18,2026-08-06,XLU,43.3098983764648
19,2026-08-06,XLB,52.310001373291
20,2026-08-06,XLRE,44.8800010681152
31,2026-08-10,XLK,187.199996948242
32,2026-08-10,XLF,57.7050018310547
33,2026-08-10,XLV,167.880004882812
34,2026-08-10,XLY,119.269996643066
35,2026-08-10,XLP,84.7600021362305
36,2026-08-10,XLI,184.759994506836
37,2026-08-10,XLE,60.064998626709
38,2026-08-10,XLU,43.1650009155273
39,2026-08-10,XLB,52.9449996948242
40,2026-08-10,XLRE,44.3512001037598
81,2026-09-03,XLK,183.600006103516
82,2026-09-03,XLF,57.6599998474121
83,2026-09-03,XLV,172.949996948242
84,2026-09-03,XLY,114.860000610352
85,2026-09-03,XLP,85.5299987792969
86,2026-09-03,XLI,172.779998779297
87,2026-09-03,XLE,65.0999984741211
88,2026-09-03,XLU,42.6699981689453
89,2026-09-03,XLB,52.9500007629395
90,2026-09-03,XLRE,43.7299995422363
91,2026-09-04,XLK,185.970001220703
92,2026-09-04,XLF,58.560001373291
93,2026-09-04,XLV,173.259994506836
94,2026-09-04,XLY,116.459999084473
95,2026-09-04,XLP,85.2600021362305
96,2026-09-04,XLI,174.559997558594
97,2026-09-04,XLE,64.620002746582
98,2026-09-04,XLU,43.0299987792969
99,2026-09-04,XLB,52.6199989318848
100,2026-09-04,XLRE,44.25
101,2026-09-07,XLK,187.279998779297
102,2026-09-07,XLF,58.0999984741211
103,2026-09-07,XLV,171.449996948242
104,2026-09-07,XLY,114.910003662109
105,2026-09-07,XLP,84.5800018310547
106,2026-09-07,XLI,175.270004272461
107,2026-09-07,XLE,64.0599975585938
108,2026-09-07,XLU,43.0800018310547
109,2026-09-07,XLB,52.439998626709
110,2026-09-07,XLRE,43.9300003051758
41,2026-08-23,XLK,183.309997558594
42,2026-08-23,XLF,57.4799995422363
43,2026-08-23,XLV,174.619995117188
44,2026-08-23,XLY,118.019996643066
45,2026-08-23,XLP,85.9899978637695
46,2026-08-23,XLI,180.25
47,2026-08-23,XLE,63.6399993896484
48,2026-08-23,XLU,42.7700004577637
49,2026-08-23,XLB,53.5400009155273
50,2026-08-23,XLRE,45.0800018310547
111,2026-09-08,XLK,187.279998779297
112,2026-09-08,XLF,58.0999984741211
113,2026-09-08,XLV,171.449996948242
114,2026-09-08,XLY,114.910003662109
115,2026-09-08,XLP,84.5800018310547
116,2026-09-08,XLI,175.270004272461
117,2026-09-08,XLE,64.0599975585938
118,2026-09-08,XLU,43.0800018310547
119,2026-09-08,XLB,52.439998626709
120,2026-09-08,XLRE,43.9300003051758
51,2026-08-31,XLK,186.270004272461
52,2026-08-31,XLF,57.7949981689453
53,2026-08-31,XLV,170.520004272461
54,2026-08-31,XLY,116.654998779297
55,2026-08-31,XLP,85.0849990844727
56,2026-08-31,XLI,175.360000610352
57,2026-08-31,XLE,63.5900001525879
58,2026-08-31,XLU,42.2254981994629
59,2026-08-31,XLB,52.7249984741211
60,2026-08-31,XLRE,44.0950012207031
61,2026-09-01,XLK,186.5
62,2026-09-01,XLF,57.7099990844727
63,2026-09-01,XLV,170.539993286133
64,2026-09-01,XLY,116.589996337891
65,2026-09-01,XLP,84.9800033569336
66,2026-09-01,XLI,175.130004882812
67,2026-09-01,XLE,63.9599990844727
68,2026-09-01,XLU,42.2299995422363
69,2026-09-01,XLB,52.689998626709
70,2026-09-01,XLRE,44.1100006103516
